date,temperature_2m (°C),relative_humidity_2m (%),cloud_cover (%),wind_speed_10m (km/h),is_day
2020-09-01T00:00,11.3,91,5,5.9,0
2020-09-01T01:00,12.1,93,16,7.3,0
2020-09-01T02:00,11.1,95,69,5.8,0
2020-09-01T03:00,11.2,96,100,5.7,0
2020-09-01T04:00,11.8,95,56,4.1,0
2020-09-01T05:00,11.4,96,38,6.4,0
2020-09-01T06:00,11.2,96,26,6.9,0
2020-09-01T07:00,11.9,94,22,9.2,1
2020-09-01T08:00,14,86,20,7.6,1
2020-09-01T09:00,15.9,76,17,6.9,1
2020-09-01T10:00,17.6,65,14,9.6,1
2020-09-01T11:00,18.8,56,29,11.4,1
2020-09-01T12:00,19.7,50,46,12.3,1
2020-09-01T13:00,19.3,51,32,10.8,1
2020-09-01T14:00,19.8,48,28,12.4,1
2020-09-01T15:00,19.9,45,60,12.4,1
2020-09-01T16:00,19.7,46,79,12.9,1
2020-09-01T17:00,19.4,46,53,11.4,1
2020-09-01T18:00,19.1,45,36,8.5,1
2020-09-01T19:00,17.9,52,43,7.1,1
2020-09-01T20:00,15.6,62,21,6,0
2020-09-01T21:00,15,63,24,9.1,0
2020-09-01T22:00,14.2,65,18,8.1,0
2020-09-01T23:00,13.3,69,9,8.1,0
2020-09-02T00:00,12.6,72,10,8,0
2020-09-02T01:00,12.4,74,31,8.6,0
2020-09-02T02:00,12.2,76,56,9,0
2020-09-02T03:00,12.3,78,51,8.7,0
2020-09-02T04:00,11.3,85,7,6.2,0
2020-09-02T05:00,9.9,93,0,5.5,0
2020-09-02T06:00,9,95,0,5.8,0
2020-09-02T07:00,10,92,0,7.6,1
2020-09-02T08:00,12.2,82,0,6.6,1
2020-09-02T09:00,14.4,73,0,6.9,1
2020-09-02T10:00,16.7,64,0,7.4,1
2020-09-02T11:00,18.3,52,7,7.9,1
2020-09-02T12:00,19.3,45,20,7.9,1
2020-09-02T13:00,20.1,43,82,5.4,1
2020-09-02T14:00,20.4,42,91,5.2,1
2020-09-02T15:00,20.7,41,94,6,1
2020-09-02T16:00,20.7,41,91,6.8,1
2020-09-02T17:00,20.5,41,84,7.7,1
2020-09-02T18:00,20.2,42,20,7.4,1
2020-09-02T19:00,18.2,54,32,5,1
2020-09-02T20:00,15.7,64,35,8.4,0
2020-09-02T21:00,15.5,67,30,7.8,0
2020-09-02T22:00,15.4,68,73,6.3,0
2020-09-02T23:00,15.6,68,87,4.6,0
2020-09-03T00:00,15,72,71,3.9,0
2020-09-03T01:00,16,64,52,5.2,0
2020-09-03T02:00,15.5,67,39,5.4,0
2020-09-03T03:00,14.8,72,26,6.7,0
2020-09-03T04:00,14.3,73,60,7.6,0
2020-09-03T05:00,15.5,66,71,9.4,0
2020-09-03T06:00,15.4,66,66,8.8,0
2020-09-03T07:00,16,63,100,9.4,1
2020-09-03T08:00,17.1,60,100,10.7,1
2020-09-03T09:00,18.5,55,72,11,1
2020-09-03T10:00,21,47,57,12.2,1
2020-09-03T11:00,22.6,45,42,13.6,1
2020-09-03T12:00,24.2,42,45,15.5,1
2020-09-03T13:00,24.1,43,37,14,1
2020-09-03T14:00,25.2,40,36,16.2,1
2020-09-03T15:00,25.8,39,13,16.1,1
2020-09-03T16:00,26,40,22,16.1,1
2020-09-03T17:00,25.7,42,11,15.9,1
2020-09-03T18:00,25.1,44,15,14.7,1
2020-09-03T19:00,23.4,49,22,9.7,1
2020-09-03T20:00,21.7,54,36,10.6,0
2020-09-03T21:00,21,55,68,11.3,0
2020-09-03T22:00,21.1,54,56,12.2,0
2020-09-03T23:00,20.3,57,26,10.8,0
2020-09-04T00:00,19.2,61,40,10.7,0
2020-09-04T01:00,20.3,57,66,8.2,0
2020-09-04T02:00,18.5,67,31,6,0
2020-09-04T03:00,17.6,74,30,6.6,0
2020-09-04T04:00,17,81,23,6.4,0
2020-09-04T05:00,16.3,86,27,6.6,0
2020-09-04T06:00,15.8,89,39,6.9,0
2020-09-04T07:00,16.9,84,44,3.4,1
2020-09-04T08:00,18.8,74,36,3.6,1
2020-09-04T09:00,20.7,66,38,4.6,1
2020-09-04T10:00,22.2,64,31,4.8,1
2020-09-04T11:00,23.3,60,19,3.3,1
2020-09-04T12:00,24.8,55,23,5,1
2020-09-04T13:00,26,40,28,6.9,1
2020-09-04T14:00,27.1,35,8,8.5,1
2020-09-04T15:00,27.8,33,0,9.8,1
2020-09-04T16:00,27.9,32,0,9.3,1
2020-09-04T17:00,27.3,36,0,9.7,1
2020-09-04T18:00,25.9,49,0,10.6,1
2020-09-04T19:00,23.1,62,0,15.7,1
2020-09-04T20:00,20.4,75,0,10.5,0
2020-09-04T21:00,19.3,80,0,8.5,0
